Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
HAYDEN_C,60658,COAL,465.4,139.61999999999998,0.0
LIMON_NG,60658,GAS,154.2,46.26,0.0
COLORADOSPRINGS_C,60658,COAL,257.3,77.19,0.0
PUEBLO_NG,60658,GAS,540.0,162.0,0.0
FOUNTAIN_C,60658,COAL,282.6,84.78,0.0
GYPSUM_NG,53294,GAS,9.6,2.88,0.0
CRAIG_C,53294,COAL,1427.6,428.28,0.0
RIFLE_NG,53294,GAS,84.0,25.2,0.0
ALGODONES_NG,53294,GAS,45.0,13.5,0.0
PREWITT_C,53294,COAL,257.0,77.1,0.0
FRUITLAND_C,53294,COAL,2269.6,680.88,0.0
BELEN_NG,53294,GAS,740.7,222.21,0.0
WATERFLOW_NG,53294,GAS,292.6,87.78,0.0
ALBUQUERQUE_NG,53294,GAS,310.6,93.18,0.0
GRANDJUNCTION_NG,60003,GAS,26.6,7.98,0.0
BRUSH_NG_35,70170,GAS,297.2,89.16,0.0
PLATTEVILLE_NG,70170,GAS,1148.5,344.55,0.0
COMMERCECITY_NG,70170,GAS,154.2,46.26,0.0
FORTLUPTON_NG,70170,GAS,396.9,119.07,0.0
WELLINGTON_C,70170,COAL,800.4,240.12,0.0
KEENESBURG_NG,70170,GAS,685.1,205.53,0.0
FREDERICK_NG,70170,GAS,420.0,126.0,0.0
SUNDANCE_NG,70170,GAS,175.0,52.5,0.0
CHEYENNE_NG,70170,GAS,220.0,66.0,0.0
WHEATLAND_C,70170,COAL,1710.0,513.0,0.0
FORTLUPTON_NG_36,60194,GAS,100.8,30.24,0.0
ARVADA_NG,60194,GAS,231.6,69.47999999999999,0.0
BOULDER_NG,60194,GAS,426.2,127.86,0.0
TRINIDAD_NG,60577,GAS,12.9,3.87,0.0
SPOKANE_NG,74235,GAS,61.8,18.54,0.0
TWINFALLS_NG,74104,GAS,10.2,3.06,0.0
MOUNTAINHOME_NG,74104,GAS,663.7,199.11,0.0
BATTLEMOUNTAIN_C,74104,COAL,409.6,122.88,0.0
PROVO_NG,50099,GAS,28.5,8.549999999999999,0.0
LOGAN_NG,50099,GAS,5.0,1.5,0.0
WESTJORDAN_NG,50099,GAS,9.8,2.94,0.0
SALTLAKECITY_NG,50099,GAS,788.9,236.67,0.0
CASTLEDALE_C,50099,COAL,1577.2,473.16,0.0
HUNTINGTON_C,50099,COAL,1037.3,311.19,0.0
BOUNTIFUL_NG,50099,GAS,3.0,0.8999999999999999,0.0
OREM_NG,50099,GAS,1385.0,415.5,0.0
PAYSON_NG,50099,GAS,149.7,44.91,0.0
SANDY_NG,50099,GAS,1.8,0.54,0.0
SUNNYSIDE_C,50099,COAL,58.1,17.43,0.0
GRANTSVILLE_NG,50099,GAS,78.0,23.4,0.0
MAPLETON_NG,50099,GAS,31.0,9.3,0.0
REXBURG_NG,70000,GAS,5.6,1.68,0.0
IDAHOFALLS_Nuc,70000,NUCLEAR,600.0,180.0,0.0
RIVERTON_NG,70000,GAS,5.9,1.77,0.0
LANDER_NG,70000,GAS,8.0,2.4,0.0
NEWPLYMOUTH_NG,74001,GAS,318.5,95.55,0.0
BUTTE_NG,74132,GAS,54.9,16.47,0.0
ANACONDA_NG,74132,GAS,203.1,60.92999999999999,0.0
RATHDRUM_NG,10677,GAS,467.9,140.36999999999998,0.0
NEWMANLAKE_NG,10677,GAS,24.6,7.38,0.0
VERNAL_C,70151,COAL,609.5,182.85,0.0
GREENRIVER_C,70151,COAL,71.0,21.3,0.0
POINTOFROCKS_C,70151,COAL,2441.9,732.57,0.0
KEMMERER_C,70151,COAL,832.0,249.6,0.0
COLSTRIP_C,77254,COAL,2409.5,722.85,0.0
HARDIN_C,77254,COAL,115.7,34.71,0.0
BILLINGS_C,77254,COAL,1.5,0.4499999999999999,0.0
LAMESA_NG,80007,GAS,464.0,139.2,0.0
VADO_NG,80007,GAS,4.7,1.41,0.0
LORDSBURG_NG_37,80007,GAS,186.0,55.8,0.0
ELPASO_NG,80007,GAS,86.9,26.07,0.0
FARMINGTON_NG,53213,GAS,67.0,20.1,0.0
WATERFLOW_C,53213,COAL,1848.0,554.4,0.0
MOAPA_NG,30347,GAS,1210.0,363.0,0.0
LASVEGAS_NG_38,30221,GAS,94.8,28.44,0.0
LASVEGAS_NG_39,30220,GAS,8.6,2.58,0.0
BOULDERCITY_NG,30220,GAS,536.0,160.79999999999998,0.0
HENDERSON_NG,30220,GAS,127.2,38.16,0.0
BOULDERCITY_NG_40,30182,GAS,75.7,22.71,0.0
ELY_C,50383,COAL,1500.0,450.0,0.0
MONA_NG,50383,GAS,649.0,194.7,0.0
LAVERKIN_NG,50383,GAS,16.0,4.8,0.0
DELTA_C,50383,COAL,2480.0,744.0,0.0
SAINTGEORGE_NG,50383,GAS,86.0,25.8,0.0
NORTHLASVEGAS_NG,30146,GAS,358.9,107.67,0.0
LASVEGAS_NG_41,30205,GAS,96.3,28.89,0.0
CLATSKANIE_NG,10093,GAS,1330.1999999999998,399.06,0.0
CORVALLIS_NG,10093,GAS,6.5,1.95,0.0
LONGVIEW_NG,10093,GAS,319.0,95.7,0.0
VANCOUVER_NG,10093,GAS,248.0,74.39999999999999,0.0
BOARDMAN_NG_42,13506,GAS,583.0,174.9,0.0
HERMISTON_NG,13506,GAS,1734.6,520.38,0.0
RICHLAND_Nuc,13506,NUCLEAR,1200.0,360.0,0.0
GOLDENDALE_NG,13506,GAS,284.3,85.29,0.0
ELPASO_NG_43,80046,GAS,527.2,158.16,0.0
